Subject,Predicate,Object
曹彦生,从事,航天数控铣工
曹彦生,掌握,0.02 mm 空气舵对称度加工、高效圆弧面加工法
0.02 mm 空气舵对称度加工、高效圆弧面加工法,应用于,航天军工
曹彦生,体现,持续学习
持续学习,属于,航天军工
曹彦生,体现,精益求精
精益求精,属于,航天军工
曹彦生,体现,问题导向
问题导向,属于,航天军工
曹彦生,属于,航天军工
曹彦生,采用,改进型
曹彦生,使用,师徒
曹彦生,风险等级,中
曹彦生,精度等级,极高
常晓飞,从事,航天数控铣工
常晓飞,掌握,0.03 mm 微孔数控微雕
0.03 mm 微孔数控微雕,应用于,航天军工
常晓飞,体现,精益求精
常晓飞,体现,坚韧钻研
坚韧钻研,属于,航天军工
常晓飞,体现,传帮带
传帮带,属于,航天军工
常晓飞,属于,航天军工
常晓飞,采用,改进型
常晓飞,使用,师徒
常晓飞,风险等级,低
常晓飞,精度等级,极高
陈永伟,从事,核电维修技师
陈永伟,掌握,0.1-0.2 mm 传感器膜片盲装定位
0.1-0.2 mm 传感器膜片盲装定位,应用于,能源电力
陈永伟,体现,严谨细致
严谨细致,属于,能源电力
陈永伟,体现,反思进取
反思进取,属于,能源电力
陈永伟,体现,创新发明
创新发明,属于,能源电力
陈永伟,属于,能源电力
陈永伟,采用,改进型
陈永伟,使用,自学
陈永伟,风险等级,高
陈永伟,精度等级,高
崔蕴,从事,火箭总装
崔蕴,掌握,异形箭体滚转装配工法
异形箭体滚转装配工法,应用于,航天军工
崔蕴,体现,执着探索
执着探索,属于,航天军工
崔蕴,体现,自主创新
自主创新,属于,航天军工
崔蕴,体现,团队引领
团队引领,属于,航天军工
崔蕴,属于,航天军工
崔蕴,采用,突破性
崔蕴,使用,自学
崔蕴,风险等级,高
崔蕴,精度等级,高
顾春燕,从事,雷达微组装
顾春燕,掌握,头发丝 1/8 细金线手工键合
头发丝 1/8 细金线手工键合,应用于,航天军工
顾春燕,体现,极致专注
极致专注,属于,航天军工
顾春燕,体现,勇挑重担
勇挑重担,属于,航天军工
顾春燕,体现,创新工艺
创新工艺,属于,航天军工
顾春燕,属于,航天军工
顾春燕,采用,突破性
顾春燕,使用,师徒
顾春燕,风险等级,高
顾春燕,精度等级,极高
韩超,从事,ROV 深海操控
韩超,掌握,1500 m 水深脐带缆精准回接
1500 m 水深脐带缆精准回接,应用于,装备制造
韩超,体现,自主突破
自主突破,属于,装备制造
韩超,体现,冷静指挥
冷静指挥,属于,装备制造
韩超,体现,敢为人先
敢为人先,属于,装备制造
韩超,属于,装备制造
韩超,采用,突破性
韩超,使用,自学
韩超,风险等级,高
韩超,精度等级,高
胡洋,从事,大飞机数字化装配
胡洋,掌握,50 m 机身调姿≤0.5 mm 误差
50 m 机身调姿≤0.5 mm 误差,应用于,基建工程
胡洋,体现,沉心学习
沉心学习,属于,基建工程
胡洋,体现,百折不挠
百折不挠,属于,基建工程
胡洋,体现,创新引领
创新引领,属于,基建工程
胡洋,属于,基建工程
胡洋,采用,突破性
胡洋,使用,院校
胡洋,风险等级,中
胡洋,精度等级,极高
刘丽,从事,油田采油
刘丽,掌握,“一摸知规格、一听辨故障”绝活
“一摸知规格、一听辨故障”绝活,应用于,能源电力
刘丽,体现,坚守一线
坚守一线,属于,能源电力
刘丽,体现,持续创新
持续创新,属于,能源电力
刘丽,体现,无私传承
无私传承,属于,能源电力
刘丽,属于,能源电力
刘丽,采用,改进型
刘丽,使用,师徒
刘丽,风险等级,低
刘丽,精度等级,高
刘云清,从事,高铁设备维修智造
刘云清,掌握,1 μm 精度老旧磨床改造
1 μm 精度老旧磨床改造,应用于,装备制造
刘云清,体现,自主攻关
自主攻关,属于,装备制造
刘云清,体现,跨界学习
跨界学习,属于,装备制造
刘云清,体现,智造报国
智造报国,属于,装备制造
刘云清,属于,装备制造
刘云清,采用,改进型
刘云清,使用,自学
刘云清,风险等级,中
刘云清,精度等级,极高
龙建军,从事,教练机铆装
龙建军,掌握,上千铆钉零公差、116 孔“复印”装配
